candidate_id,candidate_name,degree_result,location,course_id,course_name,start_date,duration,week_no,analytic,independent,determined,professional,studious,imaginative,presentation_pct,psychometrics_pct
2,Matthaeus Audas,2:1,London Academy,15,Data 31,2019-05-20,10,1,5,4,3,3,3,2,62.5,59
2,Matthaeus Audas,2:1,London Academy,15,Data 31,2019-05-20,10,2,1,1,1,4,2,4,62.5,59
2,Matthaeus Audas,2:1,London Academy,15,Data 31,2019-05-20,10,3,2,6,5,1,4,5,62.5,59
2,Matthaeus Audas,2:1,London Academy,15,Data 31,2019-05-20,10,4,8,5,6,4,8,2,62.5,59
2,Matthaeus Audas,2:1,London Academy,15,Data 31,2019-05-20,10,5,2,8,7,8,6,4,62.5,59
2,Matthaeus Audas,2:1,London Academy,15,Data 31,2019-05-20,10,6,8,5,1,6,4,7,62.5,59
2,Matthaeus Audas,2:1,London Academy,15,Data 31,2019-05-20,10,7,8,7,8,7,8,7,62.5,59
2,Matthaeus Audas,2:1,London Academy,15,Data 31,2019-05-20,10,8,7,8,8,8,8,8,62.5,59
2,Matthaeus Audas,2:1,London Academy,15,Data 31,2019-05-20,10,9,8,8,8,5,8,4,62.5,59
2,Matthaeus Audas,2:1,London Academy,15,Data 31,2019-05-20,10,10,8,8,8,8,8,8,62.5,59
9,Lay Trosdall,NULL,London Academy,26,Engineering 19,2019-04-29,10,1,2,5,2,5,4,5,65.63,61
9,Lay Trosdall,NULL,London Academy,26,Engineering 19,2019-04-29,10,2,4,5,1,1,3,4,65.63,61
9,Lay Trosdall,NULL,London Academy,26,Engineering 19,2019-04-29,10,3,2,5,1,3,3,2,65.63,61
9,Lay Trosdall,NULL,London Academy,26,Engineering 19,2019-04-29,10,4,7,6,5,8,8,3,65.63,61
9,Lay Trosdall,NULL,London Academy,26,Engineering 19,2019-04-29,10,5,8,8,1,6,8,8,65.63,61
9,Lay Trosdall,NULL,London Academy,26,Engineering 19,2019-04-29,10,6,1,6,3,8,8,4,65.63,61
9,Lay Trosdall,NULL,London Academy,26,Engineering 19,2019-04-29,10,7,8,7,6,4,8,4,65.63,61
9,Lay Trosdall,NULL,London Academy,26,Engineering 19,2019-04-29,10,8,4,8,8,8,6,7,65.63,61
9,Lay Trosdall,NULL,London Academy,26,Engineering 19,2019-04-29,10,9,8,8,8,6,8,8,65.63,61
