staff_id,staff_name,result,location,course_interest,presentation_pct,psychometrics_pct
1,Bruno Bellbrook,NULL,London Academy,NULL,71.88,39
2,Doris Bellasis,1,London Academy,Data,62.5,59
3,Gismo Tilling,1,Birmingham Academy,Business,56.25,59
5,Stacey Broad,NULL,London Academy,NULL,37.5,59
3,Gismo Tilling,1,Birmingham Academy,Engineering,46.88,63
5,Stacey Broad,NULL,London Academy,NULL,56.25,48
6,Fifi Eton,0,London Academy,Business,59.38,53
1,Bruno Bellbrook,1,London Academy,Engineering,65.63,61
3,Gismo Tilling,NULL,London Academy,NULL,65.63,47
7,Sunny Sladefield,NULL,Birmingham Academy,NULL,62.5,49
8,Rupert Ripple,NULL,Birmingham Academy,NULL,65.63,42
5,Stacey Broad,0,London Academy,Engineering,50,55
7,Sunny Sladefield,0,London Academy,Data,68.75,59
7,Sunny Sladefield,0,London Academy,Data,71.88,50
3,Gismo Tilling,0,London Academy,Data,59.38,57
5,Stacey Broad,1,London Academy,Engineering,59.38,52
5,Stacey Broad,1,London Academy,Data,65.63,55
3,Gismo Tilling,1,London Academy,Business,59.38,59
6,Fifi Eton,0,London Academy,Data,65.63,52
1,Bruno Bellbrook,1,London Academy,Engineering,78.13,68
8,Rupert Ripple,0,London Academy,Data,68.75,53
3,Gismo Tilling,1,Birmingham Academy,Data,65.63,64
3,Gismo Tilling,0,London Academy,Data,71.88,51
5,Stacey Broad,0,London Academy,Business,71.88,64
5,Stacey Broad,1,Birmingham Academy,Data,81.25,61
3,Gismo Tilling,1,Birmingham Academy,Business,71.88,62
1,Bruno Bellbrook,NULL,London Academy,NULL,56.25,43
5,Stacey Broad,NULL,London Academy,NULL,71.88,48
1,Bruno Bellbrook,0,London Academy,Engineering,62.5,55
1,Bruno Bellbrook,1,Birmingham Academy,Data,81.25,55
2,Doris Bellasis,NULL,London Academy,NULL,40.63,58
5,Stacey Broad,NULL,London Academy,NULL,62.5,43
3,Gismo Tilling,0,London Academy,Engineering,71.88,61
